link_id,source_link_id,road_no,road_class,road_name,length_km,chainage_from_km,chainage_to_km,surface,pavement_class,maintenance_station,maintenance_region,start_x_coordinate_dd,start_y_coordinate_dd,end_x_coordinate_dd,end_y_coordinate_dd,link_id_correction_status
B100N1_Link01,B100N1_Link01,B100N1,B,Kalerwe (Dual),1.72520592506,1.72520592506,0.0,Bituminous,Paved,Kampala,Central,32.57298093,0.35589033,32.57183223,0.34082557,Source ID retained
B101_Link01,B101_Link01,B101,B,Mukono - Kalagi,17.866,0.0,17.866,Bituminous,Paved,Kampala,Central,32.75124926,0.35836158,32.74938888,0.50427735,Source ID retained
B101_Link02,B101_Link02,B101,B,Kalagi - Bukoloto - Kayunga,31.673,17.866,49.539,Bituminous,Paved,Kampala,Central,32.74938888,0.50427735,32.90449274,0.70102048,Source ID retained
B101_Link03,B101_Link03,B101,B,Kayunga - Busana - Isimba,20.157,49.539,69.696,Bituminous,Paved,Kampala,Central,32.90447928,0.70101869,33.0484082,0.7756279,Source ID retained
B101_Link04,B101_Link04,B101,B,Isimba - Mbulamuti - Kamuli,13.531,69.696,83.227,Unsealed,Unpaved,Jinja,Eastern,33.04354014,0.7758733,33.10869079,0.9145497,Source ID retained
B102_Link01,B102_Link01,B102,B,Njeru - Bukoloto,42.591,0.0,42.591,Bituminous,Paved,Kampala,Central,33.17827145,0.44014524,32.91226804,0.68734357,Source ID retained
B103_Link01,B103_Link01,B103,B,Nyendo - Villa Maria,10.113,0.0,10.113,Bituminous,Paved,Masaka,Central,31.75639191,-0.30876222,31.7375164,-0.23115846,Source ID retained
B103_Link02,B103_Link02,B103,B,Sembabule - Lwemiyaga junction - Nkonge,36.0,10.113,46.113,Unsealed,Unpaved,Masaka,Central,31.46148275,-0.08193461,31.18628445,0.23455342,Source ID retained
B103_Link03,B103_Link02,B103,B,Villa Maria - Sembabule,36.0,10.113,46.113,Bituminous,Paved,Masaka,Central,31.7375164,-0.23115846,31.46148275,-0.08193461,Resequenced to unique Road_No_LinkNN standard
B103_Link04,B103_Link03,B103,B,Nkonge - Kibula - Magege - Kasambya,18.8,105.413,124.213,Unsealed,Unpaved,Mubende,Central,31.18628445,0.23455342,31.22792873,0.38068667,Resequenced to unique Road_No_LinkNN standard
B103_Link05,B103_Link04,B103,B,Kasambya - Lusalira,17.289,124.213,141.502,Unsealed,Unpaved,Mubende,Central,31.22792873,0.38068667,31.28617838,0.49727108,Resequenced to unique Road_No_LinkNN standard
B150_Link01,B150_Link01,B150,B,Ishanyu - Bwizibwera,18.949,0.0,18.949,Bituminous,Paved,Mbarara,Southern,30.60991175,-0.59819257,30.57413118,-0.4398736,Source ID retained
B150_Link02,B150_Link02,B150,B,Bwizibwera - Ibanda,45.806,18.949,64.755,Bituminous,Paved,Ibanda,Southern,30.57413118,-0.4398736,30.5006984,-0.13074205,Source ID retained
B150_Link03,B150_Link03,B150,B,Ibanda - Muziza - Kamwenge,44.461,64.755,109.216,Bituminous,Paved,Ibanda,Southern,30.5006984,-0.13074205,30.45341823,0.18574067,Source ID retained
B150_Link04,B150_Link04,B150,B,Kamwenge - Fortportal,64.78,109.216,173.996,Bituminous,Paved,Fort Portal,Western,30.45280301,0.18540196,30.27798418,0.65658214,Source ID retained
B151_Link01,B151_Link01,B151,B,Mbarara - Ishanyu,4.934,0.0,4.934,Bituminous,Paved,Mbarara,Southern,30.64849215,-0.61733631,30.60989631,-0.5981851,Source ID retained
B151_Link02,B151_Link02,B151,B,Ishanyu - Kabwohe,26.171,4.934,31.105,Bituminous,Paved,Mbarara,Southern,30.60989631,-0.5981851,30.37830445,-0.58009605,Source ID retained
B151_Link03,B151_Link03,B151,B,Kabwohe - Ishaka,28.078,31.105,59.183,Bituminous,Paved,Mbarara,Southern,30.37830445,-0.58009605,30.13900309,-0.54504758,Source ID retained
B152_Link01,B152_Link01,B152,B,Ntungamo - Kagamba,15.229,0.0,15.229,Bituminous,Paved,Kabale,Southern,30.26541001,-0.88133001,30.15991876,-0.81796157,Source ID retained
B152_Link02,B152_Link02,B152,B,Kagamba - Ishaka,35.906,15.229,51.135,Bituminous,Paved,Kabale,Southern,30.15991876,-0.81796157,30.13850218,-0.5451867,Source ID retained
B152_Link03,B152_Link03,B152,B,Ishaka - Buhinda - Rugazi,39.3,51.135,90.435,Bituminous,Paved,Mbarara,Southern,30.13850218,-0.5451867,30.09106903,-0.2550689,Source ID retained
B152_Link04,B152_Link04,B152,B,Rugazi - Katunguru  - Kikorongo,33.1,90.435,123.535,Bituminous,Paved,Kasese,Southern,30.09106903,-0.2550689,29.99901399,0.00028099,Source ID retained
B153_Link01,B153_Link01,B153,B,Kabale - Ikumba - Muko,41.999,0.0,41.999,Bituminous,Paved,Kabale,Southern,29.97401709,-1.24476438,29.80256547,-1.20519874,Source ID retained
B153_Link02,B153_Link02,B153,B,Muko - Nyakabande - Kisoro,33.845,41.999,75.844,Bituminous,Paved,Kabale,Southern,29.80256547,-1.20519874,29.68805359,-1.28343733,Source ID retained
B153_Link03,B153_Link03,B153,B,Kisoro - Bunagana,12.026,75.844,87.87,Bituminous,Paved,Kabale,Southern,29.68805359,-1.28343733,29.59818224,-1.29568028,Source ID retained
B200_Link01,B200_Link01,B200,B,Kafu - Masindi,43.263,0.0,43.263,Bituminous,Paved,Masindi,Western,32.04145866,1.54512622,31.70284307,1.68065608,Source ID retained
B201_Link01,B201_Link01,B201,B,Kigumba - Masindi,39.058,0.0,39.058,Bituminous,Paved,Masindi,Western,32.0114663,1.80943804,31.71476301,1.6900827,Source ID retained
B202_Link01,B202_Link01,B202,B,Kyenjojo - Katoke - R. Muzizi,37.9,0.0,37.9,Bituminous,Paved,Fort Portal,Western,30.64347879,0.61180212,30.73068207,0.87315673,Source ID retained
B202_Link02,B202_Link02,B202,B,R. Muzizi - Muhooro - Kagadi,15.0,37.9,52.9,Bituminous,Paved,Hoima,Western,30.80900746,0.938118,30.73068207,0.87315673,Source ID retained
B202_Link03,B202_Link03,B202,B,Kagadi - Mabale - Kabwoya,49.704,52.9,102.604,Bituminous,Paved,Hoima,Western,31.083591470000002,1.24623753,30.80900746,0.938118,Source ID retained
